symbol,time,id,direction,entry,stop,r0,reason,exit,exit_reason,stop_mode,be_armed,tsl_active,be_price,wave_frame,adapt_params,be_floor,stop_trace,last_logged_stop,last_logged_mode,r0_used,r_realized,r_sl,r_be,r_tsl,r_sl_overshoot,r_realized_adjusted
ETHUSDT,2025-06-04T07:06:00+00:00,10,LONG,2631.99,2635.4115869999996,3.199999999999818,wavegate_momentum,2635.4115869999996,BE,BE,True,False,2631.99,event,"{'wave': {'atr_mult0': 1.006677796327212, 'atr_window': 91, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.603338898163606, 'range_atr_min': 0.6025041736227045}, 'risk': {'be_trigger_r': 0.3641068447412354, 'tsl_start_r': 0.6961602671118531, 'tsl_atr_mult': 16.602671118530886}}",2635.4115869999996,"[{'time': '2025-06-04T07:08:00+00:00', 'price': 2633.99, 'stop': 2635.4115869999996, 'mode': 'BE', 'r': 0.6250000000000355, 'tsl_active': False, 'be_armed': True}]",2635.4115869999996,BE,3.199999999999818,1.0692459375000039,0.0,1.0692459375000039,0.0,0.0,1.0692459375000039
ETHUSDT,2025-06-04T09:07:00+00:00,11,LONG,2641.07,2638.15,2.9200000000000728,wavegate_momentum,2638.15,SL,INIT,False,False,2641.07,event,"{'wave': {'atr_mult0': 1.0614357262103506, 'atr_window': 103, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.6307178631051753, 'range_atr_min': 0.6230383973288814}, 'risk': {'be_trigger_r': 0.3891485809682805, 'tsl_start_r': 0.7337228714524207, 'tsl_atr_mult': 17.22871452420701}}",2638.15,[],2638.15,INIT,2.9200000000000728,-1.0,-1.0,0.0,0.0,0.0,-1.0
ETHUSDT,2025-06-04T10:55:00+00:00,12,LONG,2638.49,2636.48,2.0099999999997635,wavegate_momentum,2636.48,SL,INIT,False,False,2638.49,event,"{'wave': {'atr_mult0': 1.2070116861435727, 'atr_window': 133, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.7035058430717863, 'range_atr_min': 0.6776293823038397}, 'risk': {'be_trigger_r': 0.3, 'tsl_start_r': 0.6, 'tsl_atr_mult': 15.0}}",2636.48,[],2636.48,INIT,2.0099999999997635,-1.0,-1.0,0.0,0.0,0.0,-1.0
ETHUSDT,2025-06-05T01:51:00+00:00,13,SHORT,2604.57,2608.65,4.079999999999927,wavegate_momentum,2608.65,SL,INIT,False,False,2604.57,event,"{'wave': {'atr_mult0': 1.0013355592654425, 'atr_window': 90, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.6006677796327212, 'range_atr_min': 0.6005008347245409}, 'risk': {'be_trigger_r': 0.3347245409015025, 'tsl_start_r': 0.6520868113522538, 'tsl_atr_mult': 15.868113522537563}}",2608.65,[],2608.65,INIT,4.079999999999927,-1.0,-1.0,0.0,0.0,0.0,-1.0
ETHUSDT,2025-06-05T08:50:00+00:00,14,LONG,2606.94,2610.329022,4.179999999999836,wavegate_momentum,2610.329022,BE,BE,True,False,2606.94,event,"{'wave': {'atr_mult0': 1.8, 'atr_window': 260, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 1.0, 'range_atr_min': 0.9}, 'risk': {'be_trigger_r': 0.42020033388981637, 'tsl_start_r': 0.7803005008347246, 'tsl_atr_mult': 18.005008347245408}}",2610.329022,"[{'time': '2025-06-05T09:07:00+00:00', 'price': 2609.49, 'stop': 2610.329022, 'mode': 'BE', 'r': 0.6100478468899108, 'tsl_active': False, 'be_armed': True}]",2610.329022,BE,4.179999999999836,0.8107708133971229,0.0,0.8107708133971229,0.0,0.0,0.8107708133971229
ETHUSDT,2025-06-05T17:56:00+00:00,15,SHORT,2566.86,2570.73,3.869999999999891,wavegate_momentum,2570.73,SL,INIT,False,False,2566.86,event,"{'wave': {'atr_mult0': 1.5409015025041737, 'atr_window': 204, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.8704507512520867, 'range_atr_min': 0.802838063439065}, 'risk': {'be_trigger_r': 0.43889816360601, 'tsl_start_r': 0.808347245409015, 'tsl_atr_mult': 18.47245409015025}}",2570.73,[],2570.73,INIT,3.869999999999891,-1.0,-1.0,0.0,0.0,0.0,-1.0
ETHUSDT,2025-06-05T17:59:00+00:00,16,LONG,2571.0,2565.1,5.900000000000091,wavegate_momentum,2565.1,SL,INIT,False,False,2571.0,event,"{'wave': {'atr_mult0': 1.5328881469115192, 'atr_window': 203, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.8664440734557596, 'range_atr_min': 0.7998330550918197}, 'risk': {'be_trigger_r': 0.437228714524207, 'tsl_start_r': 0.8058430717863105, 'tsl_atr_mult': 18.430717863105176}}",2565.1,[],2565.1,INIT,5.900000000000091,-1.0,-1.0,0.0,0.0,0.0,-1.0
ETHUSDT,2025-06-05T18:56:00+00:00,17,LONG,2580.99,2575.73,5.2599999999997635,wavegate_momentum,2575.73,SL,INIT,False,False,2580.99,event,"{'wave': {'atr_mult0': 1.4006677796327212, 'atr_window': 175, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.8003338898163606, 'range_atr_min': 0.7502504173622704}, 'risk': {'be_trigger_r': 0.40283806343906514, 'tsl_start_r': 0.7542570951585976, 'tsl_atr_mult': 17.57095158597663}}",2575.73,[],2575.73,INIT,5.2599999999997635,-1.0,-1.0,0.0,0.0,0.0,-1.0
ETHUSDT,2025-06-05T19:43:00+00:00,18,SHORT,2543.58,2540.273346,5.420000000000073,wavegate_momentum,2540.273346,BE,BE,True,False,2543.58,event,"{'wave': {'atr_mult0': 1.3512520868113522, 'atr_window': 164, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.7756260434056761, 'range_atr_min': 0.7317195325542571}, 'risk': {'be_trigger_r': 0.42153589315525875, 'tsl_start_r': 0.7823038397328882, 'tsl_atr_mult': 18.03839732888147}}",2540.273346,"[{'time': '2025-06-05T19:46:00+00:00', 'price': 2539.46, 'stop': 2540.273346, 'mode': 'BE', 'r': 0.7601476014759844, 'tsl_active': False, 'be_armed': True}]",2540.273346,BE,5.420000000000073,0.6100837638376265,0.0,0.6100837638376265,0.0,0.0,0.6100837638376265
ETHUSDT,2025-06-05T19:49:00+00:00,19,SHORT,2536.51,2533.2125370000003,12.489999999999782,wavegate_momentum,2533.2125370000003,BE,BE,True,False,2536.51,event,"{'wave': {'atr_mult0': 1.3392320534223707, 'atr_window': 162, 'w2_end_arm': 0.81, 'w2_post_min': 0.8200000000000001, 'min_conf': 0.9, 'max_age_bars': 80}, 'trigger': {'zscore_k': 0.7696160267111853, 'range_atr_min': 0.7272120200333889}, 'risk': {'be_trigger_r': 0.423873121869783, 'tsl_start_r': 0.7858096828046744, 'tsl_atr_mult': 18.096828046744573}}",2533.2125370000003,"[{'time': '2025-06-05T19:51:00+00:00', 'price': 2527.61, 'stop': 2533.2125370000003, 'mode': 'BE', 'r': 0.7125700560448556, 'tsl_active': False, 'be_armed': True}]",2533.2125370000003,BE,12.489999999999782,0.2640082465972728,0.0,0.2640082465972728,0.0,0.0,0.2640082465972728
