exit_type,trades,wins,losses,mean_pnl,median_pnl,sum_pnl
BE,75,75,0,1.4967478607696596,1.487386946528921,112.25608955772447
SL,224,0,224,-20.82225874552762,-19.330136884204062,-4664.185958998187
TP,1,0,1,-6.740541895793763,-6.740541895793763,-6.740541895793763
