ts_open,ts_close,symbol,side,entry,exit,qty,pnl,exit_type,entry_reason
1736149980000,1736155140000,BTCUSDT,LONG,99415.99,99155.73886852531,0.1005,-41.122582776671976,TSL,donchian_breakout
1736178300000,1736200620000,BTCUSDT,LONG,102172.99,101619.51855837378,0.0391,-27.616948681059853,TSL,donchian_breakout
1736203020000,1736210640000,BTCUSDT,LONG,102032.45,102032.45,0.098,-14.99877015,BE,donchian_breakout
1736213340000,1736224140000,BTCUSDT,SHORT,101685.27,101843.71603634245,0.0907,-28.21611477138188,TSL,donchian_breakout
1736239140000,1736242560000,BTCUSDT,LONG,101861.18,101667.73393345863,0.0981,-33.951698970362074,TSL,donchian_breakout
1736252880000,1736297040000,BTCUSDT,SHORT,100646.1,97170.19912281797,0.08660000000000001,288.16484733593745,TSL,donchian_breakout
1736344080000,1736372160000,BTCUSDT,SHORT,95153.16,94407.32328725337,0.054700000000000006,33.02054936038129,TSL,donchian_breakout
1736374080000,1736388360000,BTCUSDT,LONG,94742.02,94742.02,0.0787,-11.184295461000001,BE,donchian_breakout
1736394600000,1736400960000,BTCUSDT,SHORT,94104.5,94465.19236888869,0.0771,-38.71342410254892,TSL,donchian_breakout
1736415540000,1736428920000,BTCUSDT,LONG,93646.0,92823.84183742489,0.08990000000000001,-86.48474790139106,TSL,donchian_breakout
1736457780000,1736515800000,BTCUSDT,LONG,92425.96,94629.15677405306,0.0476,98.19429877609161,TSL,donchian_breakout
1736553600000,1736557260000,BTCUSDT,SHORT,94683.48,94683.48,0.1056,-14.997863231999998,BE,donchian_breakout
1736587380000,1736600760000,BTCUSDT,LONG,94199.0,94530.28161682528,0.1061,20.130846960502883,TSL,donchian_breakout
1736654340000,1736657460000,BTCUSDT,LONG,94622.4,94522.23626890767,0.1056,-25.557545195847027,TSL,donchian_breakout
1736664180000,1736679420000,BTCUSDT,SHORT,94446.68,93931.85853339169,0.1058,39.52027413453432,TSL,donchian_breakout
1736682120000,1736686560000,BTCUSDT,LONG,94348.55,94348.55,0.10590000000000001,-14.987267167500002,BE,donchian_breakout
1736707380000,1736727900000,BTCUSDT,SHORT,94969.67,94702.71094047543,0.1052,13.118942205781053,TSL,donchian_breakout
1736744700000,1736769840000,BTCUSDT,SHORT,94348.04,90568.14214868227,0.10590000000000001,385.6042146873883,TP,donchian_breakout
1736771820000,1736781660000,BTCUSDT,SHORT,90455.25,92897.89273691359,0.035300000000000005,-91.07956306700962,TSL,donchian_breakout
1736812500000,1736840100000,BTCUSDT,LONG,94509.99,94954.80387641779,0.079,23.91450719982731,TSL,donchian_breakout
1736853300000,1736861400000,BTCUSDT,SHORT,96530.39,96898.42285339937,0.10350000000000001,-53.10631192458037,TSL,donchian_breakout
1736883360000,1736897340000,BTCUSDT,LONG,97087.18,96520.28098384694,0.0761,-54.19116096490039,TSL,donchian_breakout
1736908320000,1736925720000,BTCUSDT,SHORT,96807.7,97386.89739698869,0.0872,-63.20633968717678,TSL,donchian_breakout
1736931720000,1736944980000,BTCUSDT,SHORT,97162.2,97162.2,0.1029,-14.996985570000001,BE,donchian_breakout
1736952660000,1736976900000,BTCUSDT,LONG,99257.95,99761.88287487243,0.0333,11.810444407202198,TSL,donchian_breakout
1736977260000,1736983680000,BTCUSDT,SHORT,99619.26,99984.71157058117,0.1003,-51.670001290689235,TSL,donchian_breakout
1737003900000,1737008520000,BTCUSDT,SHORT,99520.35,99520.35,0.1004,-14.987764710000002,BE,donchian_breakout
1737025200000,1737026820000,BTCUSDT,SHORT,99168.0,99168.0,0.1008,-14.9942016,BE,donchian_breakout
1737056220000,1737062400000,BTCUSDT,LONG,99925.97,99925.97,0.0776,-11.631382908,BE,donchian_breakout
1737072480000,1737084360000,BTCUSDT,LONG,100200.0,101030.19385070825,0.09960000000000001,67.65541204989403,TSL,donchian_breakout
1737102420000,1737152580000,BTCUSDT,LONG,101896.48,104762.37345882447,0.0859,232.86625147893756,TSL,donchian_breakout
1737166500000,1737171420000,BTCUSDT,LONG,104437.45,104020.76273310184,0.09570000000000001,-54.839059661071566,TSL,donchian_breakout
1737190080000,1737195180000,BTCUSDT,LONG,103258.84,102871.25448007311,0.052000000000000005,-28.193520720920844,TSL,donchian_breakout
1737200220000,1737203700000,BTCUSDT,LONG,103425.72,103425.72,0.0906,-14.055555348000002,BE,donchian_breakout
1737236160000,1737240840000,BTCUSDT,SHORT,103952.92,104283.36190888537,0.0766,-37.275024616285236,TSL,donchian_breakout
1737291420000,1737297960000,BTCUSDT,LONG,104949.99,104949.99,0.0863,-13.585776205500002,BE,donchian_breakout
1737307740000,1737315120000,BTCUSDT,SHORT,104556.0,105247.65185998518,0.0956,-81.16483965294456,TSL,donchian_breakout
1737321660000,1737348120000,BTCUSDT,SHORT,105702.98,102161.49724277454,0.056100000000000004,189.93128480035847,TSL,donchian_breakout
1737361260000,1737375180000,BTCUSDT,LONG,108173.33,107113.98715077242,0.029400000000000003,-35.89176511046554,TSL,donchian_breakout
1737481320000,1737494220000,BTCUSDT,LONG,105906.81,105906.81,0.038900000000000004,-6.179662363500001,BE,donchian_breakout
1737498660000,1737505020000,BTCUSDT,SHORT,106294.0,106294.0,0.0659,-10.5071619,BE,donchian_breakout
1737517500000,1737522180000,BTCUSDT,SHORT,105663.01,105663.01,0.0946,-14.993581119000002,BE,donchian_breakout
1737654420000,1737662460000,BTCUSDT,LONG,105896.4,103367.99404228087,0.0268,-71.96749398712231,TSL,donchian_breakout
1737676680000,1737689700000,BTCUSDT,SHORT,103937.88,103937.88,0.0942,-14.686422444000002,BE,donchian_breakout
1737723000000,1737723960000,BTCUSDT,LONG,105489.22,105489.22,0.0947,-14.984743701000003,BE,donchian_breakout
1737779100000,1737793080000,BTCUSDT,SHORT,104861.99,104459.98122266532,0.09530000000000001,23.350148586855905,TSL,donchian_breakout
1737825120000,1737828300000,BTCUSDT,SHORT,104548.1,105049.8197135126,0.0956,-62.99257545526244,SL,donchian_breakout
1737859980000,1737860520000,BTCUSDT,SHORT,104568.01,104776.73086354372,0.0956,-34.96373247469642,SL,donchian_breakout
1737873420000,1737878700000,BTCUSDT,SHORT,105017.99,105065.12495125414,0.0952,-19.487181766913167,TSL,donchian_breakout
1737883440000,1737887520000,BTCUSDT,SHORT,104896.55,104699.23579120266,0.09530000000000001,3.823185308960219,TSL,donchian_breakout
1737890340000,1737900300000,BTCUSDT,LONG,104837.01,104837.01,0.09530000000000001,-14.986450579500001,BE,donchian_breakout
1737950400000,1737981660000,BTCUSDT,SHORT,101234.72,99632.61962501971,0.07680000000000001,111.47135003608524,TSL,donchian_breakout
1738022160000,1738024260000,BTCUSDT,LONG,102088.34,102088.34,0.07540000000000001,-11.546191254000002,BE,donchian_breakout
1738026420000,1738035960000,BTCUSDT,SHORT,101680.7,102666.57561207814,0.064,-72.90470840238117,TSL,donchian_breakout
1738038360000,1738046580000,BTCUSDT,LONG,102955.45,102599.59941421982,0.0799,-40.750348139983444,TSL,donchian_breakout
1738059300000,1738073040000,BTCUSDT,LONG,103037.39,102345.3485111406,0.0859,-72.67814682160227,TSL,donchian_breakout
1738109160000,1738114500000,BTCUSDT,LONG,101480.16,101480.16,0.0985,-14.993693640000002,BE,donchian_breakout
1738116060000,1738141800000,BTCUSDT,LONG,101963.57,102529.33023490282,0.0888,36.62028170372559,TSL,donchian_breakout
1738176480000,1738178280000,BTCUSDT,LONG,102899.99,101415.83003535248,0.0684,-111.99794314970413,TSL,donchian_breakout
1738229340000,1738239360000,BTCUSDT,LONG,105293.94,105066.93682206918,0.0949,-36.51503699344552,TSL,donchian_breakout
1738240320000,1738243020000,BTCUSDT,SHORT,104974.0,105351.19135595979,0.0952,-50.925835750187424,TSL,donchian_breakout
1738274640000,1738276380000,BTCUSDT,SHORT,104970.86,105137.03557962035,0.0952,-30.821618924242273,TSL,donchian_breakout
1738284480000,1738290720000,BTCUSDT,LONG,104963.14,104317.8449421743,0.08,-64.18046372258651,TSL,donchian_breakout
1738302300000,1738305960000,BTCUSDT,SHORT,104300.55,104674.33664394078,0.09580000000000001,-50.82360609489395,TSL,donchian_breakout
1738314840000,1738320780000,BTCUSDT,SHORT,103950.23,104398.73115309431,0.08950000000000001,-54.12627721934271,TSL,donchian_breakout
1738371660000,1738379160000,BTCUSDT,LONG,102552.79,102370.24733562944,0.0975,-32.782906881297286,TSL,donchian_breakout
1738388340000,1738390920000,BTCUSDT,LONG,102549.39,102341.96689182463,0.0975,-35.20643351981304,TSL,donchian_breakout
1738414260000,1738417560000,BTCUSDT,LONG,102311.02,102079.09060172942,0.09770000000000001,-37.63618756537796,TSL,donchian_breakout
1738422180000,1738430280000,BTCUSDT,SHORT,101807.88,102216.4380631751,0.09820000000000001,-55.14679282914695,TSL,donchian_breakout
1738435980000,1738458120000,BTCUSDT,SHORT,101978.5,101010.09818883921,0.098,79.9837155268775,TSL,donchian_breakout
1738464780000,1738475640000,BTCUSDT,SHORT,100532.45,100281.16060479103,0.09910000000000001,9.97730745700737,TSL,donchian_breakout
1738477200000,1738482060000,BTCUSDT,LONG,100409.23,99653.8170138325,0.0777,-70.35426308994606,TSL,donchian_breakout
1738524600000,1738536000000,BTCUSDT,LONG,97716.31,96528.5581381703,0.028900000000000002,-38.536286323773275,TSL,donchian_breakout
1738562160000,1738591380000,BTCUSDT,LONG,94039.99,94272.12469549371,0.0323,2.9360896859482875,TSL,donchian_breakout
1738626840000,1738633080000,BTCUSDT,SHORT,101296.34,101296.34,0.0918,-13.948506018000002,BE,donchian_breakout
1738716360000,1738722240000,BTCUSDT,LONG,98256.34,97200.12767454865,0.0683,-82.15155938495545,TSL,donchian_breakout
