symbol,side,ts_entry,entry,atr,sl,tp,be_armed,exit_reason,ts_exit,exit,r_realized,bars_held
BTCUSDT,short,1743860820000,82542.61,56.7559999999986,82542.61,79137.25000000009,True,sl,1743867720000,82542.61,-1.0,114
BTCUSDT,short,1743961560000,80922.01,79.46559999999968,80922.01,76154.07400000001,True,sl,1743961920000,80922.01,-1.0,5
BTCUSDT,short,1743962580000,80500.64,110.8325999999998,80500.64,73850.68400000001,True,sl,1743962700000,80500.64,-1.0,1
BTCUSDT,short,1743962820000,80305.0,116.00019999999931,80305.0,73344.98800000004,True,sl,1743963000000,80305.0,-1.0,2
BTCUSDT,long,1744598040000,85454.6,87.50999999999912,85454.6,90705.19999999995,True,sl,1744598880000,85454.6,-1.0,13
BTCUSDT,long,1745037000000,85078.69,18.335999999999476,85078.69,86178.84999999998,True,sl,1745038320000,85078.69,-1.0,21
BTCUSDT,long,1745284920000,88845.56,98.68520000000018,88845.56,94766.672,True,sl,1745325540000,88845.56,-1.0,676
BTCUSDT,long,1745327760000,89829.23,98.87000000000117,89829.23,95761.43000000007,True,sl,1745328840000,89829.23,-1.0,17
BTCUSDT,long,1745820300000,94345.19,37.85679999999789,94345.19,96616.59799999988,True,sl,1745820900000,94345.19,-1.0,9
